財務

コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
1301,2025/03,182125000000,68355000000,57902000000,47725000000,28770000000,35604000000,5600.12,36.5
130A,2024/12,2248958000,2209548000,2209548000,-203393000,-,-,340.61,98.2
1332,2025/03,634878000000,285939000000,223806000000,171996000000,114104000000,95832000000,891.31,43.6
1333,2025/03,681211000000,275396000000,197090000000,141324000000,133069000000,99842000000,4557.7,33.7
135A,2025/02,1873000000,1422000000,1422113000,834545000,-,-,140.66,75.9
1375,2025/03,37868000000,12525000000,12366000000,18334000000,-,15435000000,309.89,32.7
1376,2024/05,48682522000,24441871000,23104608000,20541739000,-,-,2163.02,50.2
1377,2024/05,192717000000,160533000000,139045000000,121965000000,2559000000,1077000000,3650.69,83.1
1379,2025/03,107620000000,56808000000,54420000000,47044000000,7097000000,12672000000,1817.33,52.8
137A,2024/05,792194000,662776000,662776000,218892000,-,-,227.09,83.7
1380,2025/03,7126000000,2186000000,2123196000,861486000,1564124000,1713918000,523.35,30.6
1381,2024/06,24451000000,20723000000,20230000000,19352000000,-,-,3690,84.8
1382,2024/06,1123842000,769645000,769645000,237997000,-,4016000,1010.45,68.5
1383,2024/10,5677521000,2120334000,2060366000,762857000,600000000,1238325000,1293.88,36.4
1384,2025/03,19216000000,14153000000,13966000000,12157000000,-,1134000000,1673.03,73.7
138A,2024/11,2408540000,1247319000,1247319000,444215000,-,584905000,1257.38,51.8
1400,2023/12,3184986000,2637992000,2268339000,-789479000,2600000,83314000,193.32,79
1401,2024/05,4408320000,3472954000,3440775000,2861190000,-,-,471.97,78.8
1407,2024/08,125897000000,33399000000,33090000000,36350000000,18612000000,56553000000,837.88,26.4
1414,2024/06,130141000000,104425000000,100330000000,73088000000,-,-,1981.14,79.2
1417,2025/03,537739000000,269877000000,245748000000,201526000000,42596000000,40495000000,2914.94,48.6
1418,2025/02,9438000000,4214000000,4228120000,877640000,650000000,759292000,271.55,44.7
1419,2024/05,89587000000,38327000000,38398000000,31259000000,5963000000,1966000000,1321.09,42.7
141A,2024/06,283627000000,118187000000,114443000000,71952000000,-,12195000000,948.63,40.8
1420,2025/03,50553000000,15321000000,15350070000,6770994000,3690000000,9913000000,1367.23,30.3
1429,2024/12,24071841000,10545914000,10545343000,8357887000,4500000000,-,330.51,43.8
142A,2025/03,2090000000,389000000,389870000,-246634000,102494000,327283000,134.32,18.6
1430,2024/05,23717601000,8468076000,8464766000,8037300000,1500000000,2154443000,708.48,35.7
1431,2024/06,11741338000,4570600000,4570600000,2271032000,2446450000,1379309000,194.2,38.9
1433,2025/01,11046000000,4853000000,4770009000,3323981000,3000000000,622844000,546.88,43.9
1434,2024/08,17734538000,6746621000,6558241000,4269395000,1595096000,3755930000,958.88,37.4
1435,2024/12,13233088000,9310114000,9298789000,2128305000,500040000,758659000,103.57,70.3
1436,2024/04,12122962000,5033018000,5032810000,3277405000,354700000,3135884000,1234.79,41.5
1438,2024/09,5294131000,3820625000,3766503000,3001421000,200000000,11652000,1178.13,72.2
1439,2024/12,5502000000,2588000000,2515200000,1410496000,80000000,713625000,1486.1,45.7
143A,2025/03,2201000000,1682000000,1170712000,850706000,-,-,626.84,54.6
1443,2025/03,16164000000,10916000000,10584448000,7991477000,-,2858779000,672.4,67.5
1444,2024/07,2767380000,1501120000,1507334000,908365000,600000000,130618000,1379.9,54.2
1446,2024/09,6134261000,2799618000,2792252000,710503000,500000000,370000000,303.42,45.6
1447,2025/03,16998000000,2843000000,2684246000,23209000,4530000000,3865174000,108.38,15.6
1449,2024/12,735057000,261326000,261326000,175478000,80000000,197924000,122.69,35.6
1450,2025/03,11383000000,8223000000,8136797000,7591352000,-,-,945.32,72.2
1451,2024/03,15025464000,6395081000,6394726000,4937079000,200000000,3086267000,1601.84,42.6
145A,2024/12,2708435000,1709021000,1709021000,-924382000,60000000,435074000,333.48,63.1
146A,2024/12,52186000000,12101000000,12100000000,9045000000,2255000000,30515000000,3485.63,23.2
147A,2025/03,13403000000,10355000000,9878888000,855057000,-,687505000,222.78,75
148A,2024/12,2430572000,777136000,776623000,130952000,200000000,181850000,406.41,32
1491,2025/03,16525000000,8182000000,8182188000,2014850000,1500000000,1177532000,28.39,49.5
149A,2024/12,1228956000,978011000,978011000,-103613000,90000000,-,309.07,79.6
150A,2025/03,2982000000,2038000000,2038223000,-287957000,176000000,91315000,362.46,68.3
1514,2025/03,29047000000,28024000000,27273000000,25254000000,-,-,468.76,96.5
1515,2025/03,240179000000,151971000000,117376000000,115864000000,12615000000,9771000000,8991.68,58.9
1518,2025/03,117627000000,65481000000,62060000000,59875000000,28707000000,3056000000,5825.41,55.5
151A,2024/06,4314946000,1895989000,1895315000,1274159000,30000000,193476000,228.49,43.9
153A,2024/12,2024057000,1315537000,1315537000,672955000,-,100000000,206.39,65
155A,2024/12,2815132000,1752224000,1751828000,936662000,150000000,47140000,169.45,62.2
156A,2024/08,3260029000,2025357000,2024173000,1679024000,-,152098000,207.87,62.1
157A,2024/06,1850191000,1472223000,1472043000,902693000,-,50794000,461.46,79.6
1605,2024/12,7380863000000,5137833000000,4821805000000,3073530000000,193847000000,870064000000,4026.22,65.3
160A,2025/03,21407000000,4162000000,4162977000,3015943000,1130068000,7262855000,1164.14,19.4
1662,2025/03,681598000000,557257000000,458791000000,445499000000,-,-,2062.21,77.4
1663,2024/12,119447000000,99406000000,93891000000,73100000000,346000000,567000000,3611.38,80.6
166A,2024/09,59415611000,21929167000,21306504000,4375005000,5801500000,20882677000,413.42,35.9
168A,2025/01,3645209000,1204370000,1204370000,383130000,-,1630466000,819.3,33
1711,2025/03,4705000000,738000000,606333000,-3821697000,1809192000,1552664000,59.31,12.9
1712,2025/02,29031000000,18966000000,17209000000,12872000000,1330000000,4002000000,1042.62,60.2
1716,2024/06,21858626000,18285321000,18170577000,17468245000,-,191807000,1607.04,83.1
1717,2025/03,8027000000,5597000000,5575947000,4928037000,-,-,477.77,69.5
1718,2024/12,32571464000,17887754000,15578146000,14218945000,2130000000,3482609000,14401.14,48.3
1719,2025/03,371974000000,172183000000,158641000000,145412000000,20982000000,6916000000,1092.11,46
1720,2025/03,274315000000,102667000000,95551000000,76145000000,5580000000,21130000000,959.27,37.1
1721,2025/03,539730000000,380983000000,366048000000,317908000000,2996000000,13000000,3177.56,69.3
1723,2025/03,52886000000,39495000000,38065000000,37856000000,-,-,2479.98,74.7
1724,2024/12,11352000000,6146000000,5966000000,4342000000,2000000000,336000000,1320.25,54.1
1726,2025/03,41933000000,15067000000,14845000000,9293000000,14500000000,3476000000,333.45,35.7
1730,2024/03,2980227000,986536000,972710000,584683000,-,697634000,288.99,33.1
1734,2023/03,7415354000,-2638814000,-2695122000,-4192781000,5100000000,-,-4184.24,-35.6
1736,2025/03,34671000000,22902000000,20953020000,20193030000,1306708000,329676000,1444.28,64.5
1738,2025/03,7457000000,4641000000,4589537000,4259535000,510000000,195014000,1145.06,62.2
1739,2023/06,29055255000,8534674000,8534674000,7813552000,6375510000,7996898000,1402.27,29.4
173A,2025/03,6136000000,2726000000,2652591000,2445002000,-,-,648.15,44.4
1743,2024/09,14980725000,8954531000,8752457000,6160588000,-,-,3937.21,59.8
1757,2024/03,1265496000,222338000,205688000,-14960930000,203000000,650000000,0.74,16.3
1758,2025/01,11530000000,8842000000,8347554000,8180935000,-,-,4445.16,76.7
175A,2024/12,656881000,410176000,409472000,-484189000,145000000,8840000,280.27,62.3
1762,2025/03,269725000000,137756000000,136729000000,130932000000,15000000000,-,3954.9,51.1
1764,2024/06,15517672000,4825664000,4718385000,3473461000,1630000000,1126897000,3884.23,31.1
1766,2024/04,210001000000,121611000000,120712000000,116101000000,-,-,9045.74,57.9
1768,2025/03,12900000000,9062000000,9062000000,7602960000,-,-,1292.31,70.2
176A,2024/06,17519465000,8331608000,8301887000,6701192000,-,2241706000,444.82,47.4
1770,2025/03,30294000000,18984000000,18318589000,16974126000,355000000,-,2069.88,62.7
1771,2024/09,13927535000,9117052000,8871523000,7816088000,115200000,214400000,1839.17,65.5
1775,2024/03,81009000000,42172000000,40375000000,31817000000,75000000,-,4614.73,51.2
1776,2025/03,24555000000,13560000000,13274000000,10428000000,-,-,1475.41,55.2
1777,2025/03,24274000000,13335000000,13213000000,11244000000,-,-,1114.58,54.9
177A,2025/03,9066000000,5781000000,5672189000,3265071000,1500000000,375000000,1131.12,63.8
1780,2025/03,30835000000,23268000000,22242742000,18189807000,-,-,1229.39,75.5
1783,2024/09,14215027000,6616182000,6613864000,-4672351000,3349371000,723476000,38.9,46.5
1786,2025/03,77574000000,51268000000,50116000000,44241000000,-,2824000000,390.67,66.1
1787,2025/03,12146000000,8730000000,8553418000,7306840000,-,-,3548.53,71.9
1788,2024/06,4516883000,3209891000,3071977000,1742899000,-,-,5132.8,70.2
1789,2023/09,6673903000,2704794000,2876862000,1125516000,610000000,677512000,424.51,40.5
1793,2025/03,90139000000,64862000000,60236000000,52179000000,3000000000,-,2552.23,72
1795,2024/09,8394129000,4940143000,4925250000,2817191000,-,204110000,5575.54,58.9
1798,2025/03,34143000000,15940000000,15581304000,12642572000,800000000,21649000,7324.24,46.7
1799,2025/03,83941000000,71657000000,67680445000,64254555000,-,-,3818.44,85.4
1801,2025/03,2428837000000,900699000000,729234000000,649200000000,115212000000,127799000000,5041.42,35.7
1802,2025/03,3042778000000,1210201000000,937378000000,853125000000,97532000000,127589000000,1628.88,38.1
1803,2025/03,2523771000000,923809000000,693234000000,612186000000,243576000000,132362000000,1260.47,34.1
1805,2024/03,150869000000,48803000000,47135000000,35948000000,18359000000,16487000000,2549.05,32.3
1807,2025/03,35432000000,21426000000,18558338000,16116293000,2800000000,-,3425.97,60.2
1808,2025/03,1365203000000,532033000000,500036000000,472561000000,15000000000,265000000000,1950.61,39
1810,2025/03,80887000000,50616000000,42319000000,39356000000,3000000000,-,1760.61,62.6
1811,2025/03,206761000000,96867000000,60916000000,57216000000,22050000000,14700000000,13525.63,46.8
1812,2025/03,3454592000000,1277988000000,999187000000,970255000000,379117000000,232246000000,2672.64,36.4
1813,2025/03,64148000000,34675000000,33337000000,15436000000,10500000000,850000000,2262.99,53.3
1814,2025/03,55595000000,22993000000,22758000000,18330000000,200000000,2654000000,2200.91,41.4
1815,2025/03,225102000000,70116000000,55532000000,34365000000,39845000000,16082000000,5011.32,31
1820,2025/03,592046000000,181190000000,158337000000,122249000000,42848000000,40364000000,4361.24,29.1
1821,2025/03,393474000000,77315000000,66351000000,57363000000,31530000000,35432000000,446.89,17.8
1822,2025/03,149842000000,73065000000,68338000000,17911000000,850000000,6000000000,810.62,47.7
1826,2025/03,27489000000,15522000000,14687000000,10773000000,302000000,326000000,1007.71,56.5
1827,2025/03,80669000000,44458000000,39180000000,32754000000,624000000,50000000,1246.48,53.1
1828,2025/03,45976000000,24988000000,24980000000,22013044000,400000000,975000000,2464.92,54.3
1832,2025/03,49800000000,33311000000,30546000000,23788000000,-,-,1607.75,66.9
1833,2025/03,393466000000,172455000000,138653000000,100276000000,43801000000,5006000000,4894.04,45.1
1835,2025/03,181115000000,120777000000,113138434000,111041273000,10000000000,-,3473.85,66
1840,2024/10,27190688000,12926893000,12854799000,1469446000,-,3000000000,517.13,47.5
1841,2025/03,14426000000,11582000000,11390877000,11413931000,-,94872000,3564.3,80.3
1844,2024/07,11931283000,5617805000,5539527000,1453171000,686883000,3313354000,296.95,46.4
1847,2025/03,67602000000,34087000000,33186000000,28670000000,1917000000,4661000000,4692.73,50.4
1848,2025/03,37756000000,12308000000,12062000000,8307000000,10119000000,612000000,697.23,32.6
184A,2024/04,452334000,289461000,289461000,59216000,-,37845000,139.96,64
1850,2025/03,42867000000,17290000000,16852000000,13153000000,5880000000,100000000,599.74,40.3
1852,2025/03,115240000000,46138000000,42411000000,32706000000,8310000000,11221000000,567.02,39.7
1853,2025/03,25301000000,14901000000,14691000000,12853000000,800000000,-,454.97,58.9
1860,2025/03,923572000000,353197000000,256849000000,223857000000,65572000000,111681000000,1140.46,37.1
1861,2025/03,462533000000,181829000000,168143000000,123852000000,8109000000,34026000000,4236.29,39.3
1866,2025/03,75589000000,47229000000,40331000000,31458000000,-,-,7682,61.7
1867,2025/03,50897000000,29062000000,28122578000,17672314000,1874488000,1829798000,4419.87,57
1869,2025/03,109716000000,73998000000,63518000000,61050000000,2368000000,1414000000,2920.3,67.2
186A,2024/04,24990809000,5401357000,5401357000,-679294000,2487960000,7375050000,59.45,21.6
1870,2025/03,144220000000,68835000000,71802000000,58620000000,26600000000,12000000000,1599.55,47.7
1871,2025/03,130836000000,57880000000,53890000000,41992000000,9500000000,4700000000,1237.91,44.2
1873,2024/04,43222000000,21251000000,20814000000,16921000000,3827000000,4251000000,522.4,48.3
1878,2024/03,1080069000000,405800000000,396371000000,391255000000,-,57176000000,6162.22,37.6
1879,2025/03,172954000000,122313000000,121717000000,115187000000,-,-,2091.17,70.7
1882,2025/03,90721000000,56931000000,52410000000,40991000000,5450000000,450000000,1197.35,61.1
1884,2025/03,156741000000,104761000000,103377000000,76569000000,100000000,9600000000,2379.77,66.7
1885,2025/03,298939000000,107873000000,96047000000,66912000000,29510000000,9960000000,1342.69,35.6
1887,2024/05,145677000000,68591000000,66873000000,48059000000,7186000000,21227000000,819.47,47
1888,2025/03,91890000000,49858000000,43998000000,30194000000,12190000000,378000000,3802.75,52.6
1890,2025/03,180459000000,80075000000,71413000000,51772000000,12355000000,11650000000,820.46,42.7
1892,2025/03,53003000000,19860000000,19358000000,14039000000,4837000000,999000000,9531.14,37.3
1893,2025/03,660127000000,172121000000,157233000000,111155000000,57011000000,58503000000,610.56,26.1
1897,2024/12,21844000000,18819000000,15773000000,17526000000,-,-,8564.92,84.5
1898,2025/03,82556000000,41692000000,40373000000,38421000000,5106000000,1600000000,1138.84,50.5
1899,2024/12,142814000000,85407000000,82898000000,75080000000,730000000,473000000,10227.95,59.3
189A,2024/05,8792346000,1271588000,1271588000,994718000,6426389000,495102000,828.94,14.5
1904,2025/03,46411000000,27628000000,24480564000,17458136000,2700000000,-,4565.98,59.5
1905,2025/03,21073000000,13291000000,12740631000,9162481000,-,-,1949.26,61.4
1909,2025/03,50939000000,30517000000,24681208000,21846974000,1309037000,1751465000,3825.38,50.3
190A,2024/08,4632370000,4161297000,4158362000,-5721780000,-,-,61.44,89.8
1911,2024/12,2261128000000,1020127000000,701012000000,613765000000,93702000000,413856000000,4497.17,40.7
1914,2025/03,31779000000,22953000000,21154638000,14653069000,-,3350000000,1191.05,72.2
1921,2025/03,116489000000,72962000000,49264435000,48806090000,6220000000,9111500000,1690.47,53.5
1925,2025/03,7049323000000,2716745000000,2406094000000,2132816000000,170293000000,1034496000000,4226.17,37.1
1926,2025/03,122209000000,88674000000,83795000000,73300000000,1447000000,-,1972.66,71.9
1928,2025/01,4808848000000,2018599000000,1689420000000,1266985000000,477840000000,456321000000,3027.64,40.8
1929,2025/03,56946000000,34567000000,33321000000,25471000000,-,519000000,823.28,60.4
192A,2024/05,2121041000,1362359000,1362359000,1262359000,-,-,681.18,64.2
1930,2025/03,60707000000,43893000000,43893000000,38110000000,57000000,74000000,1580.99,72.3
1934,2025/03,233554000000,147713000000,143508000000,128136000000,3536000000,4700000000,2150.41,63.2
1938,2025/03,94625000000,63728000000,60855640000,56988902000,500000000,-,2574.78,67.3
1939,2025/03,99630000000,64890000000,61337000000,54219000000,80000000,5561000000,1370.85,65.1
1941,2025/03,293900000000,229601000000,206920000000,211618000000,-,-,4183.79,77.1
1942,2025/03,603220000000,380949000000,342508000000,326335000000,16791000000,4174000000,1799.73,61
1944,2025/03,821693000000,599738000000,528917000000,476757000000,14936000000,-,3014.06,72.9
1945,2025/03,108081000000,68427000000,65741000000,60406000000,14468000000,5134000000,2054.26,63.3
1946,2025/03,310561000000,136681000000,123256000000,110888000000,16327000000,20217000000,1472.08,44
1948,2025/03,33375000000,21914000000,20581000000,18303000000,500000000,-,2497.26,65.3
1949,2025/03,197577000000,119178000000,100288000000,89060000000,1447000000,852000000,3232.68,57.6
194A,2024/06,5784472000,2113630000,2113630000,-323077000,100000000,2423347000,282.8,36.5
1950,2025/03,296388000000,209649000000,179259000000,168859000000,4100000000,-,3335.76,66
1951,2025/03,642505000000,326783000000,297436000000,278791000000,52126000000,57063000000,1551.71,50
1952,2025/03,118166000000,69294000000,58450000000,49895000000,3650000000,-,1527.52,58.6
1954,2023/06,195391000000,83784000000,80873000000,60407000000,28716000000,17385000000,5367.86,41.4
1959,2025/03,488472000000,312152000000,298955000000,273660000000,1920000000,16779000000,4384.29,63.5
195A,2025/03,3554000000,1164000000,1163829000,100985000,220000000,1182547000,392.03,32.7
1960,2025/03,59039000000,30589000000,28052000000,27255000000,3051000000,-,1984.07,51.6
1961,2025/03,200839000000,106380000000,90195000000,84245000000,5759000000,1348000000,2051.61,52.9
1963,2025/03,784175000000,392260000000,364353000000,340488000000,250000000,13887000000,1616.43,49.8
1964,2025/03,48736000000,28609000000,24542000000,17845000000,2569000000,2938000000,3858.74,58.1
1965,2025/03,80163000000,52948000000,47235000000,42259000000,-,5000000,2516.35,66
1966,2025/03,45156000000,20563000000,19078853000,14021901000,6500000000,2818147000,2764.84,44.9
1967,2025/03,58847000000,41236000000,36123005000,27781730000,680000000,499277000,1659.06,69.9
1968,2025/03,155076000000,115057000000,107046000000,92394000000,-,6726000000,5452.59,73.3
1969,2025/03,334949000000,184283000000,162212000000,145846000000,17737000000,-,2720.63,53.9
196A,2024/06,2421030000,2060859000,2060859000,-1468219000,8330000,100000000,227.15,85.1
1971,2023/03,9130051000,2450097000,2450097000,1211460000,1700000000,1882662000,1042.09,26.8
1972,2025/03,41429000000,27103000000,24829000000,22796000000,-,-,7029.28,65.4
1973,2024/03,284897000000,157481000000,150344000000,120740000000,6230000000,-,1024.09,53.5
1975,2025/03,80861000000,42027000000,38912000000,31878000000,3300000000,196000000,1631.77,52
1976,2025/03,88583000000,69206000000,63251000000,60358000000,-,700000000,1440.69,77.4
1979,2025/03,268448000000,156486000000,123528000000,118270000000,13200000000,116000000,2282.9,55.2
197A,2024/06,29261325000,13666759000,13666834000,10777852000,4500000000,4307000000,136.59,46.7
1980,2025/03,215309000000,109206000000,94754000000,88503000000,22927000000,675000000,2495.41,49.7
1981,2025/03,28357000000,18869000000,17880794000,18070879000,-,-,1792.41,66.5
1982,2025/03,99915000000,71684000000,63041000000,55458000000,-,-,3201.95,70.6
198A,2024/05,1279535000,868408000,865238000,864238000,-,-,86.52,67.6
1992,2025/03,9485000000,6115000000,5189612000,3189572000,200000000,-,2682.97,64.5
1994,2024/12,13876896000,10772742000,10737924000,7970978000,1003000000,326000000,1342.61,77.6
1997,2024/08,10310141000,6810692000,6728741000,5429477000,-,254080000,3366.77,66.1
1999,2024/06,8666982000,5833395000,5396681000,3894967000,1291454000,284599000,8384.2,61
2001,2025/03,399226000000,246484000000,191499000000,170683000000,17341000000,14685000000,3102.26,60.7
2002,2025/03,789713000000,502570000000,369583000000,341375000000,13141000000,11244000000,1674.04,61.4
2003,2025/03,62946000000,49426000000,44590000000,38519000000,420000000,-,5420.16,78.4
2004,2025/03,255504000000,138619000000,119217000000,101219000000,13516000000,7966000000,4156.71,52.8
2009,2024/12,45396149000,35936260000,29413916000,25918604000,1444940000,1841069000,1542.32,79.1
202A,2025/03,4712000000,3409000000,3408897000,3246969000,100000000,-,212.39,72.3
2053,2025/03,101582000000,67517000000,64315000000,56197000000,1300000000,6306000000,2279.94,66.4
2055,2025/03,29706000000,18237000000,17741000000,14547000000,3969000000,-,1006.91,61.4
2058,2025/03,14226000000,5134000000,4888000000,4719000000,3796000000,2355000000,1298.05,36.1
205A,2024/05,13390586000,3092591000,3075383000,1673703000,2163803000,2122202000,801.59,23.1
2060,2025/03,124172000000,55347000000,51884000000,32338000000,12878000000,14400000000,1429.02,44
206A,2024/09,4528566000,3502901000,3502477000,-1542734000,-,-,97.41,77.3
2107,2025/03,13256000000,10867000000,10613000000,7713000000,-,-,1992.9,82
2108,2025/03,101215000000,73829000000,59637000000,48662000000,9037000000,11000000,5928.7,72.9
2109,2025/03,202196000000,119341000000,109419000000,94638000000,8552000000,17404000000,3550.66,56.7
2112,2025/03,29405000000,16618000000,14756000000,15656000000,2700000000,3860000000,605.47,56.5
2114,2025/03,33761000000,23874000000,21299291000,17743105000,2158000000,2348000000,928.9,70.6
2117,2025/03,110352000000,74363000000,72892000000,33384000000,15810000000,-,2242.21,66.1
211A,2024/07,8403562000,4100816000,4100816000,3147535000,-,1336341000,4050.19,48.8
2120,2024/09,41191000000,24202000000,24105000000,2639000000,3572000000,253000000,188.33,58.5
2121,2025/03,225544000000,181333000000,175026000000,173149000000,1865000000,10587000000,2641.25,79.4
2122,2024/09,11232537000,5641825000,5636705000,4553321000,-,-,898.83,50.2
2124,2024/12,26013000000,18095000000,17700000000,19698000000,-,-,114.42,69.6
2127,2025/03,61786000000,47589000000,45995168000,56951849000,-,4000000000,148.71,76.4
212A,2024/10,5866878000,2975952000,2975952000,2006232000,-,157169000,187.88,50.7
2130,2025/03,11778350000,5808317000,-,4628888000,-,-,-,-
2134,2025/03,2686000000,2039000000,1977205000,-9409332000,32164000,59738000,6.75,75
2136,2025/03,5904000000,3979000000,3979882000,3366761000,400000000,-,1024.37,67.4
2137,2025/03,7338000000,3346000000,3346173000,2093579000,100000000,5250000,1601.65,45.6
2138,2025/03,29530000000,9327000000,8944169000,10955702000,-,9506192000,960.74,31.1
2139,2025/03,5068000000,2113000000,2005000000,1553126000,620000000,437716000,297.51,39.9
2146,2025/03,66346000000,36323000000,29258000000,27692000000,-,5695000000,741.38,44.1
2148,2025/03,10998000000,9379975000,9379000000,7095527000,-,-,483.11,85.3
2150,2024/12,14113026000,11329679000,11123931000,7087285000,-,99872000,256.96,79
2151,2023/03,90453000000,37429000000,35871000000,17457000000,7052000000,20866000000,1250.17,39.6
2152,2025/03,13491000000,10278000000,9832347000,9860820000,-,-,951.48,76.2
2153,2024/05,41423000000,32592000000,31379000000,24600000000,-,17000000,2077.99,78.7
2154,2024/06,116566000000,73347000000,73198000000,-7004000000,1606000000,30000000,843.15,62.8
2156,2025/03,4238000000,2037000000,1971680000,1591992000,99000000,97207000,461.19,48
2157,2024/08,61714913000,30354638000,30746433000,26049100000,-,5725060000,374.91,49.2
2158,2025/03,6466000000,3227000000,1430921000,-104438000,1000000000,288593000,75.38,45.9
215A,2024/10,26575010000,9095992000,9078689000,1902950000,10500000000,765100000,93.48,34.2
2160,2024/12,71942000000,39713900000,36446000000,9888797000,4575000000,1200000000,726.67,50.7
2162,2025/03,36230000000,5283000000,6140618000,5011764000,16967801000,1562945000,274.42,14.5
2163,2025/01,6687000000,4708000000,4707371000,4301729000,-,-,443.1,70.4
2164,2024/08,1246599000,302271000,302205000,-347004000,200000000,90060000,119.54,24.2
2168,2024/05,301090000000,154677000000,147260000000,127449000000,9263000000,29427000000,3789.42,49.3
2169,2024/12,11386134000,8898028000,8841053000,6755616000,600000000,-,1304.77,78.1
2170,2024/12,33178000000,14384000000,11285000000,9447000000,-,-,105.98,34
2172,2024/06,1165585000,739564000,724654000,537358000,100000000,-,451.5,62.2
2173,2024/12,7901982000,3360759000,3353903000,2996038000,20000000,1261310000,216,42.5
2175,2025/03,76540000000,47319000000,40531000000,43430000000,3500000000,2350000000,554.23,61.5
2179,2025/03,9472000000,3859000000,3871183000,3723413000,-,1470359000,695.59,40.7
2180,2024/06,8472908000,4136436000,3863524000,2744514000,236000000,563416000,266.2,46.9
2181,2025/03,539746000000,206382000000,189633000000,185466000000,10300000000,20000000000,85.48,35.1
2183,2025/03,16775000000,7253000000,5993881000,6437301000,600000000,1099942000,321.14,43.2
2185,2024/09,26408594000,20928402000,19995775000,19923149000,34620000,263731000,1554.78,78.1
2186,2025/02,5681000000,4336000000,4322400000,4330745000,-,-,549.42,76.1
218A,2024/07,1517392000,865629000,860116000,-1138594000,-,292690000,45.66,56.7
2193,2024/12,15017524000,13619626000,13619626000,4602392000,-,-,165.07,90.7
2195,2024/12,6594824000,2733759000,2570184000,1833782000,-,1701981000,152.01,40.5
2196,2025/03,21329000000,6271000000,6268925000,1798290000,200000000,5581902000,464.27,29.4
2198,2024/10,20698924000,10617803000,10520619000,10669596000,-,2424188000,369.02,51.1
219A,2024/10,7067594000,6623249000,6610833000,-2769747000,-,-,297.44,93.5
2201,2025/03,209986000000,132393000000,117623000000,87076000000,-,10000000000,1523.09,62.3
2204,2025/03,43509000000,27038000000,24244442000,9321826000,-,-,4680.85,62.1
2206,2024/12,377771000000,272598000000,230343000000,228938000000,10000000,155000000,4272.43,72
2207,2025/03,83325000000,54912000000,32709000000,31965000000,-,8342000000,3243.84,65.9
2208,2025/03,95839000000,61492000000,61189000000,53947000000,500000000,2055000000,2543.6,64.2
2209,2025/03,36677000000,22123000000,18868831000,13198515000,900000000,-,1728.61,60.3
220A,2024/09,2567999000,2106344000,2102714000,1824594000,-,-,774.39,82
2211,2024/12,90466000000,63067000000,54662000000,32339000000,3960000000,-,2246.77,64
2212,2024/12,865105000000,460486000000,343422000000,374629000000,60302000000,32373000000,2072.34,47.6
2215,2024/12,15781000000,8054000000,8205000000,1251000000,-,-,1163.3,51
2216,2024/12,29105795000,16831178000,16755181000,12054641000,-,-,1198.25,57.8
2217,2025/01,25591000000,19483000000,18939136000,12641274000,1510000000,-,964.01,76.1
2218,2025/03,14023000000,5320000000,2291297000,1255737000,550000000,1170500000,2542.52,37.9
2220,2025/03,123862000000,78908000000,65260000000,64498000000,6401000000,15417000000,3585.44,61
2221,2025/03,91104000000,67952000000,26386683000,26031047000,-,4400000,6531.13,74.6
2222,2025/03,51980000000,40085000000,39900000000,40274000000,-,-,259.66,77.1
2224,2025/03,4726000000,2039000000,3946250000,3896246000,850000000,496704000,586.93,43.2
2226,2025/03,39055000000,19410000000,18941000000,14521000000,500000000,4711000000,1788,48.8
2229,2025/03,319169000000,215067000000,195348000000,205571000000,883000000,35000000000,1642.26,64.3
2264,2025/03,520423000000,271103000000,246316000000,220181000000,3553000000,10511000000,3187.4,51.2
2266,2024/12,51403000000,30863445000,29442700000,26394271000,7000000000,-,1584.13,60
2267,2025/03,864317000000,629515000000,494577000000,546984000000,62583000000,24170000000,1925.41,66.4
2268,2024/12,26314796000,13634934000,13372145000,12413299000,-,2034053000,1415.02,51.8
2269,2025/03,1184472000000,791783000000,684010000000,649258000000,25376000000,12423000000,2762.33,63.2
2270,2025/03,431073000000,248037000000,207222000000,175746000000,7385000000,19650000000,3626.91,56.8
2281,2025/03,239610000000,130228000000,111107000000,93352000000,234000000,15856000000,2375.12,49.8
2282,2025/03,949272000000,537072000000,524293000000,387789000000,-,-,5299.56,55.2
2286,2025/03,27632000000,11791000000,10424000000,7252000000,4906000000,1820000000,1395.65,42.7
2288,2025/03,120920000000,67007000000,58006000000,33465000000,8275000000,5361000000,2704.28,54.7
228A,2024/11,2294527000,1079425000,1079425000,210125000,-,-,472.33,47
2291,2025/03,12521000000,1847000000,1172000000,-2941000000,4428000000,1270000000,553.26,14.7
2292,2025/02,230595000000,129864000000,108672000000,85940000000,10515000000,37569000000,3847.39,52.8
2293,2025/03,12466000000,3480000000,2778760000,1018939000,2605000000,908326000,1695,27.9
2294,2024/04,21687000000,17657000000,17445000000,18627000000,-,-,1685.73,81.4
2296,2025/03,467009000000,286318000000,267543000000,150821000000,39093000000,20240000000,5033,61.1
2300,2025/02,4396000000,2141000000,1799018000,1014924000,200000000,648597000,406.96,48.7
2301,2024/10,16739761000,14477952000,14438528000,11853752000,-,-,1056.55,86.4
2303,2024/05,2815510000,2480566000,2481241000,2005255000,-,-,807.76,88.1
2304,2024/09,5931124000,2674954000,2540216000,1976956000,450000000,-,535.57,45.1
